,site,date,prev_TMAX,TMAX,delta
43016,kyoto,1993-02-08,21.3,5.6,15.700000000000001
61496,liestal,1968-01-14,-7.0,8.5,15.5
62692,liestal,1971-04-24,25.8,9.5,16.3
65501,liestal,1979-01-01,11.5,-5.3,16.8
107646,newyorkcity,1950-01-26,5.6,22.2,16.6
107746,newyorkcity,1950-05-06,12.2,27.8,15.600000000000001
108007,newyorkcity,1951-01-22,13.9,-1.7,15.6
108024,newyorkcity,1951-02-08,11.1,-4.4,15.5
108337,newyorkcity,1951-12-18,-6.1,10.0,16.1
109129,newyorkcity,1954-02-17,20.6,5.6,15.000000000000002
109514,newyorkcity,1955-03-09,1.7,17.8,16.1
109548,newyorkcity,1955-04-12,27.8,10.0,17.8
109779,newyorkcity,1955-11-29,13.3,-2.2,15.5
110201,newyorkcity,1957-01-24,16.7,-2.2,18.9
110236,newyorkcity,1957-02-28,16.1,1.1,15.000000000000002
110930,newyorkcity,1959-01-23,13.9,-1.7,15.6
110988,newyorkcity,1959-03-22,18.9,2.2,16.7
111786,newyorkcity,1961-05-28,8.9,25.0,16.1
112828,newyorkcity,1964-04-04,22.2,6.7,15.5
113877,newyorkcity,1967-02-17,13.9,-1.7,15.6
113923,newyorkcity,1967-04-04,25.0,8.9,16.1
114982,newyorkcity,1970-02-26,13.3,-3.9,17.2
115670,newyorkcity,1972-01-15,16.7,0.0,16.7
115691,newyorkcity,1972-02-05,11.1,-5.6,16.7
116375,newyorkcity,1973-12-20,-3.9,13.9,17.8
116377,newyorkcity,1973-12-22,15.0,-1.1,16.1
116470,newyorkcity,1974-03-25,16.7,1.1,15.6
116896,newyorkcity,1975-05-25,32.2,16.1,16.1
117511,newyorkcity,1977-01-29,6.7,-10.6,17.3
117570,newyorkcity,1977-03-29,8.9,25.6,16.700000000000003
117584,newyorkcity,1977-04-12,12.8,30.0,17.2
117596,newyorkcity,1977-04-24,24.4,8.9,15.499999999999998
117857,newyorkcity,1978-01-10,15.0,-5.6,20.6
117874,newyorkcity,1978-01-27,14.4,-2.8,17.2
120526,newyorkcity,1985-05-02,28.9,13.3,15.599999999999998
121203,newyorkcity,1987-03-10,15.6,-2.2,17.8
121653,newyorkcity,1988-06-02,33.3,16.7,16.599999999999998
121943,newyorkcity,1989-03-19,22.2,6.7,15.5
122302,newyorkcity,1990-03-13,10.0,28.3,18.3
122313,newyorkcity,1990-03-24,18.9,3.3,15.599999999999998
122589,newyorkcity,1990-12-25,17.2,-0.6,17.8
123076,newyorkcity,1992-04-25,27.2,11.7,15.5
123708,newyorkcity,1994-01-17,-10.0,7.2,17.2
123710,newyorkcity,1994-01-19,2.8,-12.8,15.600000000000001
123808,newyorkcity,1994-04-27,11.7,27.2,15.5
124151,newyorkcity,1995-04-05,20.0,3.3,16.7
124561,newyorkcity,1996-05-19,18.3,34.4,16.099999999999998
125509,newyorkcity,1998-12-23,17.8,-1.1,18.900000000000002
125531,newyorkcity,1999-01-14,10.6,-5.0,15.6
126290,newyorkcity,2001-02-11,15.6,-0.6,16.2
126301,newyorkcity,2001-02-22,11.1,-4.4,15.5
126347,newyorkcity,2001-04-09,7.2,23.3,16.1
126363,newyorkcity,2001-04-25,30.6,12.2,18.400000000000002
127085,newyorkcity,2003-04-17,30.6,9.4,21.200000000000003
127724,newyorkcity,2005-01-15,16.1,1.1,15.000000000000002
128514,newyorkcity,2007-03-16,20.6,3.3,17.3
130663,newyorkcity,2013-02-01,15.6,0.0,15.6
131003,newyorkcity,2014-01-07,11.7,-6.6,18.299999999999997
131117,newyorkcity,2014-05-01,9.4,25.0,15.6
131367,newyorkcity,2015-01-06,10.0,-5.5,15.5
131513,newyorkcity,2015-06-01,30.0,14.4,15.6
132080,newyorkcity,2016-12-19,16.1,0.6,15.500000000000002
132106,newyorkcity,2017-01-14,17.2,1.1,16.099999999999998
132232,newyorkcity,2017-05-20,35.6,20.0,15.600000000000001
132471,newyorkcity,2018-01-14,11.7,-4.3,16.0
132578,newyorkcity,2018-05-01,11.1,27.8,16.700000000000003
132597,newyorkcity,2018-05-20,13.3,28.9,15.599999999999998
132921,newyorkcity,2019-04-09,26.1,10.0,16.1
133098,newyorkcity,2019-10-03,35.0,19.4,15.600000000000001
133548,newyorkcity,2020-12-26,17.2,1.1,16.099999999999998
133973,newyorkcity,2022-02-24,20.0,2.2,17.8
134276,newyorkcity,2022-12-24,15.0,-8.8,23.8
135075,newyorkcity,2025-03-02,18.3,1.1,17.2
135103,newyorkcity,2025-03-30,27.8,7.8,20.0
7,washingtondc,1950-01-08,19.4,3.9,15.499999999999998
403,washingtondc,1951-02-08,12.8,-6.1,18.9
410,washingtondc,1951-02-15,21.1,3.3,17.8
844,washingtondc,1952-04-24,31.1,12.2,18.900000000000002
1112,washingtondc,1953-01-17,22.8,3.9,18.900000000000002
1148,washingtondc,1953-02-22,23.9,7.8,16.099999999999998
1488,washingtondc,1954-01-28,22.2,3.9,18.3
1505,washingtondc,1954-02-14,-0.6,16.1,16.700000000000003
1556,washingtondc,1954-04-06,7.8,26.1,18.3
1868,washingtondc,1955-02-12,14.4,-5.0,19.4
1906,washingtondc,1955-03-22,8.9,26.1,17.200000000000003
2580,washingtondc,1957-01-24,17.8,-1.7,19.5
2615,washingtondc,1957-02-28,20.0,4.4,15.6
3303,washingtondc,1959-01-17,13.9,-3.3,17.2
3327,washingtondc,1959-02-10,3.9,20.0,16.1
3367,washingtondc,1959-03-22,22.2,5.6,16.6
3597,washingtondc,1959-11-07,25.0,7.8,17.2
4839,washingtondc,1963-04-02,12.8,31.7,18.9
4878,washingtondc,1963-05-11,35.0,18.9,16.1
5206,washingtondc,1964-04-03,7.8,23.3,15.5
5580,washingtondc,1965-04-12,12.8,28.3,15.5
6242,washingtondc,1967-02-03,21.7,5.6,16.1
6256,washingtondc,1967-02-17,17.2,1.7,15.5
6281,washingtondc,1967-03-14,9.4,25.6,16.200000000000003
6302,washingtondc,1967-04-04,30.0,13.3,16.7
7339,washingtondc,1970-02-04,11.7,-3.9,15.6
7361,washingtondc,1970-02-26,16.1,0.0,16.1
8477,washingtondc,1973-03-18,22.2,6.7,15.5
8792,washingtondc,1974-01-27,8.3,23.9,15.599999999999998
9557,washingtondc,1976-03-02,26.7,11.1,15.6
10236,washingtondc,1978-01-10,16.7,-5.0,21.7
10304,washingtondc,1978-03-19,7.8,23.3,15.5
10570,washingtondc,1978-12-10,20.6,2.2,18.400000000000002
10594,washingtondc,1979-01-03,15.6,-1.1,16.7
11356,washingtondc,1981-02-03,15.6,-0.6,16.2
11365,washingtondc,1981-02-12,18.9,-2.2,21.099999999999998
11704,washingtondc,1982-01-17,5.6,-12.2,17.799999999999997
11996,washingtondc,1982-11-05,26.1,11.1,15.000000000000002
12848,washingtondc,1985-03-06,21.7,5.6,16.1
13216,washingtondc,1986-03-09,0.6,19.4,18.799999999999997
13573,washingtondc,1987-03-01,7.8,23.3,15.5
14242,washingtondc,1988-12-29,21.1,2.8,18.3
14318,washingtondc,1989-03-15,7.2,23.9,16.7
14322,washingtondc,1989-03-19,27.2,7.2,20.0
14968,washingtondc,1990-12-25,18.3,1.1,17.2
15028,washingtondc,1991-02-23,22.2,5.6,16.6
15354,washingtondc,1992-01-15,18.3,1.7,16.6
15447,washingtondc,1992-04-17,13.9,29.4,15.499999999999998
15485,washingtondc,1992-05-25,30.0,14.4,15.6
16535,washingtondc,1995-04-10,28.9,12.2,16.7
16820,washingtondc,1996-01-20,16.7,0.6,16.099999999999998
16860,washingtondc,1996-02-29,19.4,3.3,16.099999999999998
17888,washingtondc,1998-12-23,19.4,-2.2,21.599999999999998
17899,washingtondc,1999-01-03,-3.9,12.8,16.7
17940,washingtondc,1999-02-13,23.3,4.4,18.9
18275,washingtondc,2000-01-14,16.7,0.0,16.7
18278,washingtondc,2000-01-17,16.7,-0.6,17.3
18680,washingtondc,2001-02-22,13.9,-1.7,15.6
18742,washingtondc,2001-04-25,30.0,13.9,16.1
19025,washingtondc,2002-02-02,25.0,6.7,18.3
19451,washingtondc,2003-04-04,28.3,12.2,16.1
20103,washingtondc,2005-01-15,18.3,2.8,15.5
20409,washingtondc,2005-11-17,23.9,7.2,16.7
20835,washingtondc,2007-01-17,17.8,1.1,16.7
20893,washingtondc,2007-03-16,23.9,5.0,18.9
20899,washingtondc,2007-03-22,6.7,23.9,17.2
21145,washingtondc,2007-11-23,25.0,8.3,16.7
23042,washingtondc,2013-02-01,18.9,2.2,16.7
23382,washingtondc,2014-01-07,9.4,-6.0,15.4
23403,washingtondc,2014-01-28,12.2,-4.9,17.1
23447,washingtondc,2014-03-13,20.6,2.2,18.400000000000002
24201,washingtondc,2016-04-05,23.3,7.8,15.5
24459,washingtondc,2016-12-19,19.4,3.9,15.499999999999998
24850,washingtondc,2018-01-14,16.7,-2.1,18.8
24887,washingtondc,2018-02-20,10.0,25.6,15.600000000000001
25222,washingtondc,2019-01-21,13.3,-4.3,17.6
26352,washingtondc,2022-02-24,25.0,5.6,19.4
26655,washingtondc,2022-12-24,12.8,-5.5,18.3
27454,washingtondc,2025-03-02,20.6,5.6,15.000000000000002
